185	5	5	4	4	2	0	1	0	2	2	0	0	2	0	8	10	0	10	18	0	0	0	0	0	0	20
186	6	5	4	4	2	0	1	0	2	1	1	0	2	0	8	5	6	8	0	0	0	0	0	0	0	21
187	6	6	4	4	2	0	1	0	2	0	2	0	2	0	8	0	12	12	20	0	0	0	0	0	0	22
188	5	5	5	4	2	0	1	0	1	3	0	0	2	0	4	15	0	10	0	15	0	0	0	0	0	21
189	6	5	5	4	2	0	1	0	1	2	1	0	2	0	4	10	6	10	0	0	0	0	0	0	0	22
190	6	6	5	4	2	0	1	0	1	1	2	0	2	0	4	5	12	12	0	0	0	0	0	0	0	23
191	6	6	6	4	2	0	1	0	1	0	3	0	2	0	4	0	18	12	0	18	0	0	0	0	0	24
192	5	5	5	5	2	0	1	0	0	4	0	0	2	0	0	20	0	10	0	15	20	0	0	0	0	22
193	6	5	5	5	2	0	1	0	0	3	1	0	2	0	0	15	6	10	0	15	0	0	0	0	0	23
194	6	6	5	5	2	0	1	0	0	2	2	0	2	0	0	10	12	12	22	0	0	0	0	0	0	24
195	6	6	6	5	2	0	1	0	0	1	3	0	2	0	0	5	18	12	0	18	0	0	0	0	0	25
196	6	6	6	6	2	0	1	0	0	0	4	0	2	0	0	0	24	12	0	18	24	0	0	0	0	26
197	3	3	3	3	3	0	0	5	0	0	0	0	0	15	0	0	0	6	0	9	12	0	0	0	50	15
198	4	3	3	3	3	0	0	4	1	0	0	0	0	12	4	0	0	6	0	9	12	0	0	0	0	16
199	5	3	3	3	3	0	0	4	0	1	0	0	0	12	0	5	0	6	0	9	12	0	0	0	0	17
200	6	3	3	3	3	0	0	4	0	0	1	0	0	12	0	0	6	6	0	9	12	0	0	0	0	18
201	4	4	3	3	3	0	0	3	2	0	0	0	0	9	8	0	0	8	14	9	0	30	0	0	0	17
202	5	4	3	3	3	0	0	3	1	1	0	0	0	9	4	5	0	6	0	9	0	0	0	0	0	18
203	6	4	3	3	3	0	0	3	1	0	1	0	0	9	4	0	6	6	0	9	0	0	0	0	0	19
204	5	5	3	3	3	0	0	3	0	2	0	0	0	9	0	10	0	10	16	9	0	30	0	0	0	19
205	6	5	3	3	3	0	0	3	0	1	1	0	0	9	0	5	6	6	0	9	0	0	0	0	0	20
206	6	6	3	3	3	0	0	3	0	0	2	0	0	9	0	0	12	12	18	9	0	30	0	0	0	21
207	4	4	4	3	3	0	0	2	3	0	0	0	0	6	12	0	0	8	14	12	0	30	0	0	0	18
208	5	4	4	3	3	0	0	2	2	1	0	0	0	6	8	5	0	8	14	0	0	0	0	0	0	19
209	6	4	4	3	3	0	0	2	2	0	1	0	0	6	8	0	6	8	14	0	0	0	0	0	0	20
210	5	5	4	3	3	0	0	2	1	2	0	0	0	6	4	10	0	10	16	0	0	0	0	0	0	20
211	6	5	4	3	3	0	0	2	1	1	1	0	0	6	4	5	6	6	0	0	0	0	25	0	0	21
212	6	6	4	3	3	0	0	2	1	0	2	0	0	6	4	0	12	12	18	0	0	0	0	0	0	22
213	5	5	5	3	3	0	0	2	0	3	0	0	0	6	0	15	0	10	16	15	0	30	0	0	0	21
214	6	5	5	3	3	0	0	2	0	2	1	0	0	6	0	10	6	10	16	0	0	0	0	0	0	22
215	6	6	5	3	3	0	0	2	0	1	2	0	0	6	0	5	12	12	18	0	0	0	0	0	0	23
216	6	6	6	3	3	0	0	2	0	0	3	0	0	6	0	0	18	12	18	18	0	30	0	0	0	24
217	4	4	4	4	3	0	0	1	4	0	0	0	0	3	16	0	0	8	0	12	16	0	0	0	0	19
218	5	4	4	4	3	0	0	1	3	1	0	0	0	3	12	5	0	8	0	12	0	0	0	0	0	20
219	6	4	4	4	3	0	0	1	3	0	1	0	0	3	12	0	6	8	0	12	0	0	0	0	0	21
220	5	5	4	4	3	0	0	1	2	2	0	0	0	3	8	10	0	10	18	0	0	0	0	0	0	21
221	6	5	4	4	3	0	0	1	2	1	1	0	0	3	8	5	6	8	0	0	0	0	25	0	0	22
222	6	6	4	4	3	0	0	1	2	0	2	0	0	3	8	0	12	12	20	0	0	0	0	0	0	23
223	5	5	5	4	3	0	0	1	1	3	0	0	0	3	4	15	0	10	0	15	0	0	0	0	0	22
224	6	5	5	4	3	0	0	1	1	2	1	0	0	3	4	10	6	10	0	0	0	0	25	0	0	23
225	6	6	5	4	3	0	0	1	1	1	2	0	0	3	4	5	12	12	0	0	0	0	25	0	0	24
226	6	6	6	4	3	0	0	1	1	0	3	0	0	3	4	0	18	12	0	18	0	0	0	0	0	25
227	5	5	5	5	3	0	0	1	0	4	0	0	0	3	0	20	0	10	0	15	20	0	0	0	0	23
228	6	5	5	5	3	0	0	1	0	3	1	0	0	3	0	15	6	10	0	15	0	0	0	0	0	24
229	6	6	5	5	3	0	0	1	0	2	2	0	0	3	0	10	12	12	22	0	0	0	0	0	0	25
230	6	6	6	5	3	0	0	1	0	1	3	0	0	3	0	5	18	12	0	18	0	0	0	0	0	26
231	6	6	6	6	3	0	0	1	0	0	4	0	0	3	0	0	24	12	0	18	24	0	0	0	0	27
